variable,mean,std
nox,90.4176025390625,130.8866729736328
temp,8.50847053527832,6.5366387367248535
hum,74.103271484375,16.806650161743164
hpa,1006.8263549804688,12.410543441772461
MET_precipation,0.32964426279067993,0.9696455597877502
Nea_No,35.12684631347656,69.03279876708984
Nea_No2,36.7437744140625,30.20244789123535
Nea Pm2_5,7.211475372314453,5.788034439086914
Nea_Pm10,15.018509864807129,14.192889213562012
PRA_1__upTo5_6,197.210073473313,145.30045540659205
PRA_3__upTo5_6,208.9125431331046,154.2016713968734
PRA_4__upTo5_6,45.034734614720996,149.27777547274655
PRA_7__upTo5_6,375.113288236729,303.8568416865317
PRA_8__upTo5_6,249.7717973845245,194.4870183634513
PRA_9__upTo5_6,355.4979966935684,275.9523183618181
PRA_10__upTo5_6,324.35664000674365,232.07982996318887
PRA_11__upTo5_6,269.80184973867836,178.49322511555567
PRA_12__upTo5_6,126.65605366098097,107.26801817226828
PRA_13__upTo5_6,94.44620249699406,83.17124865887392
MET_precipation_last_24h,7.865365982055664,13.455925941467285
MET_wind speed_last_24h,83.99678039550781,43.764278411865234
windX,-1.2986711263656616,3.1478583812713623
windY,0.5358450412750244,2.534632682800293
quarter,2.7753387533875338,1.1360702698843004
day_sin,-0.0019119530072302848,0.7080401023995142
day_cos,0.0007817602309659384,0.706233168785598
week_sin,0.001128967599660565,0.7058424651168155
week_cos,0.001265141728511245,0.7084305762912284
year_sin,-0.16063103109029953,0.7120580295261723
year_cos,0.07836369617763178,0.6790564204336998
